"November 14, 1987",y,,,,Selected to represent Mumbai in Ranji. Was not in playing 11.,Test
"February 25, 1988",x,St. Xavier's High School,326*,Mumbai,"Highest partnership in any form of cricket
This was a record partnership in any form of cricket until 2006, when it was broken by two under-13 batsmen in a match held at Hyderabad in India.",Test
"December 11, 1988",x,Gujarat,100*,"Wankhede Stadium, Bombay",Youngest Indian to score a century on first-class debut.,Test
"November 15, 1989",1,Pakistan,15,"National Stadium, Karachi",2nd youngest debutant in the world,Test
"November 23, 1989",, Pakistan,59,Faisalabad,,Test 
"December 1, 1989",, Pakistan,41,Lahore,,Test 
"December 9, 1989",, Pakistan,57,Sialkot,,Test 
"December 18, 1989",, Pakistan,0,Gujranwala,,ODI 
"February 2, 1990",, New Zealand,24,Christchurch,,Test 
"February 9, 1990",, New Zealand,88,Napier,,Test 
"February 22, 1990",, New Zealand,5,Auckland,,Test 
"March 1, 1990",, New Zealand,0,Dunedin,,ODI 
"March 6, 1990",, New Zealand,36,Wellington,,ODI 
"April 25, 1990",, Sri Lanka,10,Sharjah,,ODI 
"April 27, 1990",, Pakistan,20,Sharjah,,ODI 
"July 18, 1990",, England,19,Leeds,,ODI 
"July 20, 1990",, England,31,Nottingham,,ODI 
"July 26, 1990",, England,27,Lord's,,Test 
"August 9, 1990",16,England,119*,"Old Trafford, Manchester","2nd youngest player to score a century
1st international century",Test
"August 23, 1990",, England,21,The Oval,,Test 
"November 23, 1990",, Sri Lanka,11,Chandigarh,,Test 
"December 1, 1990",, Sri Lanka,36,Nagpur,,ODI 
"December 5, 1990",, Sri Lanka,53,Pune,,ODI 
"December 8, 1990",, Sri Lanka,30,Margao,,ODI 
"December 25, 1990",, Bangladesh,DNB,Chandigarh,,ODI 
"December 28, 1990",, Sri Lanka,4,Cuttack,,ODI 
"January 4, 1991",, Sri Lanka,53,Kolkata,,ODI 
"October 18, 1991",, Pakistan,52*,Sharjah,,ODI 
"October 19, 1991",, West Indies,22,Sharjah,,ODI 
"October 22, 1991",, West Indies,11*,Sharjah,,ODI 
"October 23, 1991",, Pakistan,49,Sharjah,,ODI 
"October 25, 1991",, Pakistan,0,Sharjah,,ODI 
"November 10, 1991",, South Africa,62,Kolkata,,ODI 
"November 12, 1991",, South Africa,4,Gwalior,,ODI 
"November 14, 1991",, South Africa,1,New Delhi,,ODI 
"November 29, 1991",, Australia,16,Brisbane,,Test 
"December 6, 1991",, West Indies,1,Perth,,ODI 
"December 8, 1991",, Australia,36,Perth,,ODI 
"December 10, 1991",, Australia,57,Hobart,,ODI 
"December 14, 1991",, West Indies,48,Adelaide,,ODI 
"December 15, 1991",, Australia,21,Adelaide,,ODI 
"December 26, 1991",, Australia,40,Melbourne,,Test 
"January 2, 1992",, Australia,148*,Sydney,,Test 
"January 11, 1992",, West Indies,77,Brisbane,,ODI 
"January 14, 1992",, Australia,31,Sydney,,ODI 
"January 16, 1992",, West Indies,57*,Melbourne,,ODI 
"January 18, 1992",, Australia,4,Melbourne,,ODI 
"January 20, 1992",, Australia,69,Sydney,,ODI 
"January 25, 1992",, Australia,17,Adelaide,,Test 
"February 1, 1992",, Australia,114,Perth,,Test 
"February 22, 1992",, England,35,Perth,,ODI 
"February 28, 1992",, Sri Lanka,DNB,Mackay,,ODI 
"March 1, 1992",, Australia,11,Brisbane,,ODI 
"March 4, 1992",, Pakistan,54*,Sydney,,ODI 
"March 7, 1992",, Zimbabwe,81,Hamilton,,ODI 
"March 10, 1992",, West Indies,4,Wellington,,ODI 
"March 12, 1992",, New Zealand,84,Dunedin,,ODI 
"March 15, 1992",, South Africa,14,Adelaide,,ODI 
"May 7, 1992",x,Hampshire,86,"Headingley, Leeds","1st overseas born player to represent Yorkshire
Aged 19",Test
"October 18, 1992",, Zimbabwe,0,Harare,,Test 
"October 25, 1992",, Zimbabwe,39,Harare,,ODI 
"November 13, 1992",, South Africa,11,Durban,,Test 
"November 26, 1992",, South Africa,111,Johannesburg,,Test 
"December 7, 1992",, South Africa,15,Cape Town,,ODI 
"December 9, 1992",, South Africa,10,Port Elizabeth,,ODI 
"December 11, 1992",, South Africa,22,Centurion,,ODI 
"December 13, 1992",, South Africa,21,Johannesburg,,ODI 
"December 15, 1992",, South Africa,32,Bloemfontein,,ODI 
"December 17, 1992",, South Africa,23,Durban,,ODI 
"December 19, 1992",, South Africa,21,East London,,ODI 
"December 26, 1992",, South Africa,6,Port Elizabeth,,Test 
"January 2, 1993",, South Africa,73,Cape Town,,Test 
"January 18, 1993",, England,82*,Jaipur,,ODI 
"January 21, 1993",, England,1,Chandigarh,,ODI 
"January 29, 1993",, England,50,Kolkata,,Test 
"February 11, 1993",, England,165,Chennai,,Test 
"February 19, 1993",, England,78,Mumbai,,Test 
"February 26, 1993",, England,3,Bangalore,,ODI 
"March 1, 1993",, England,24,Jamshedpur,,ODI 
"March 4, 1993",, England,5,Gwalior,,ODI 
"March 5, 1993",, England,34,Gwalior,,ODI 
"March 13, 1993",, Zimbabwe,62,Delhi,,Test 
"March 19, 1993",, Zimbabwe,3,Faridabad,,ODI 
"March 22, 1993",, Zimbabwe,8*,Guwahati,,ODI 
"March 25, 1993",, Zimbabwe,DNB,Pune,,ODI 
"July 17, 1993",, Sri Lanka,DNB,Kandy,,Test 
"July 25, 1993",, Sri Lanka,21,Colombo (RPS),,ODI 
"July 27, 1993",, Sri Lanka,104*,Colombo (SSC),,Test 
"August 4, 1993",, Sri Lanka,71,Colombo (PSS),,Test 
"August 12, 1993",, Sri Lanka,15,Colombo (RPS),,ODI 
"August 14, 1993",, Sri Lanka,25,Moratuwa,,ODI 
"November 7, 1993",, Sri Lanka,26*,Kanpur,,ODI 
"November 16, 1993",, West Indies,2,Ahmedabad,,ODI 
"November 18, 1993",, Zimbabwe,24,Indore,,ODI 
"November 22, 1993",, South Africa,3,Mohali,,ODI 
"November 24, 1993",, South Africa,15,Kolkata,,ODI 
"November 27, 1993",, West Indies,28*,Kolkata,,ODI 
"January 18, 1994",, Sri Lanka,142,Lucknow,,Test 
"January 26, 1994",, Sri Lanka,96,Bangalore,,Test 
"February 8, 1994",, Sri Lanka,6,Ahmedabad,,Test 
"February 15, 1994",, Sri Lanka,1,Rajkot,,ODI 
"February 18, 1994",, Sri Lanka,11*,Hyderabad (Deccan),,ODI 
"February 20, 1994",, Sri Lanka,52,Jalandhar,,ODI 
"March 19, 1994",, New Zealand,43,Hamilton,,Test 
"March 25, 1994",, New Zealand,15,Napier,,ODI 
"March 27, 1994",, New Zealand,82,Auckland,,ODI 
"March 30, 1994",, New Zealand,63,Wellington,,ODI 
"April 2, 1994",, New Zealand,40,Christchurch,,ODI 
"April 13, 1994",, U.A.E.,63,Sharjah,,ODI 
"April 15, 1994",, Pakistan,73,Sharjah,,ODI 
"April 19, 1994",, Australia,6,Sharjah,,ODI 
"April 22, 1994",, Pakistan,24,Sharjah,,ODI 
"September 4, 1994",, Sri Lanka,11*,Colombo (RPS),,ODI 
"September 5, 1994",, Sri Lanka,6,Colombo (RPS),,ODI 
"September 9, 1994",111,Australia,110,"R Premadasa Stadium, Colombo","1st ODI century
79th ODI match",ODI
"September 17, 1994",, Sri Lanka,0,Colombo (SSC),,ODI 
"October 17, 1994",, West Indies,0,Faridabad,,ODI 
"October 20, 1994",, West Indies,0,Mumbai,,ODI 
"October 23, 1994",, West Indies,8,Chennai,,ODI 
"October 28, 1994",, New Zealand,115,Vadodara,,ODI 
"October 30, 1994",, West Indies,34,Kanpur,,ODI 
"November 3, 1994",, New Zealand,62,Delhi,,ODI 
"November 5, 1994",, West Indies,66,Kolkata,,ODI 
"November 7, 1994",, West Indies,54,Visakhapatnam,,ODI 
"November 9, 1994",, West Indies,88,Cuttack,,ODI 
"November 11, 1994",, West Indies,105,Jaipur,,ODI 
"November 18, 1994",, West Indies,85,Mumbai,,Test 
"December 1, 1994",, West Indies,179,Nagpur,,Test 
"December 10, 1994",, West Indies,40,Mohali,,Test 
"February 16, 1995",, New Zealand,13,Napier,,ODI 
"February 18, 1995",, South Africa,37,Hamilton,,ODI 
"February 22, 1995",, Australia,47,Dunedin,,ODI 
"April 5, 1995",, Bangladesh,48,Sharjah,,ODI 
"April 7, 1995",, Pakistan,4,Sharjah,,ODI 
"April 9, 1995",, Sri Lanka,112*,Sharjah,,ODI 
"April 14, 1995",, Sri Lanka,41,Sharjah,,ODI 
"October 18, 1995",, New Zealand,4,Bangalore,,Test 
"October 25, 1995",, New Zealand,52*,Chennai,,Test 
"November 8, 1995",, New Zealand,2,Cuttack,,Test 
"November 15, 1995",, New Zealand,30,Jamshedpur,,ODI 
"November 18, 1995",, New Zealand,39,Amritsar,,ODI 
"November 24, 1995",, New Zealand,7,Pune,,ODI 
"November 26, 1995",, New Zealand,65,Nagpur,,ODI 
"November 29, 1995",, New Zealand,1,Mumbai (BS),,ODI 
"February 18, 1996",, Kenya,127*,Cuttack,,ODI 
"February 21, 1996",, West Indies,70,Gwalior,,ODI 
"February 27, 1996",, Australia,90,Mumbai,,ODI 
"March 2, 1996",, Sri Lanka,137,Delhi,,ODI 
"March 6, 1996",, Zimbabwe,3,Kanpur,,ODI 
"March 9, 1996",, Pakistan,31,Bangalore,,ODI 
"March 13, 1996",, Sri Lanka,65,Kolkata,,ODI 
"April 3, 1996",, Sri Lanka,28,Singapore,,ODI 
"April 5, 1996",, Pakistan,100,Singapore,,ODI 
"April 12, 1996",, Pakistan,1,Sharjah,,ODI 
"April 14, 1996",, South Africa,2,Sharjah,,ODI 
"April 15, 1996",, Pakistan,118,Sharjah,,ODI 
"April 17, 1996",, South Africa,17,Sharjah,,ODI 
